"Time","Subsystem #1|CTLs|Vars|Vrms_1","Subsystem #1|CTLs|Vars|Vrms_10","Subsystem #1|CTLs|Vars|Vrms_11","Subsystem #1|CTLs|Vars|Vrms_12","Subsystem #1|CTLs|Vars|Vrms_13","Subsystem #1|CTLs|Vars|Vrms_14","Subsystem #1|CTLs|Vars|Vrms_2","Subsystem #1|CTLs|Vars|Vrms_3","Subsystem #1|CTLs|Vars|Vrms_4","Subsystem #1|CTLs|Vars|Vrms_5","Subsystem #1|CTLs|Vars|Vrms_6","Subsystem #1|CTLs|Vars|Vrms_8","Subsystem #1|CTLs|Vars|Vrms_9"
0.00295,11.01339243,10.73432304,10.88651307,10.94644838,10.88048065,10.61594711,10.85740466,10.49455655,10.54824487,10.5775641,11.11747045,11.32736854,10.74756029
0.003,11.01338463,10.73429559,10.88648423,10.9464195,10.88045241,10.61592172,10.85738329,10.49452791,10.54822199,10.57754381,11.11743942,11.32731776,10.74753245
0.00305,11.01337656,10.73426698,10.88645422,10.94638942,10.88042297,10.61589516,10.85736133,10.49449815,10.54819822,10.5775227,11.11740718,11.32726573,10.74750344
0.0031,11.01336823,10.73423722,10.88642303,10.94635815,10.88039234,10.61586743,10.85733878,10.49446728,10.54817355,10.57750078,11.11737375,11.32721246,10.7474733
0.00315,11.01335963,10.73420632,10.88639068,10.94632569,10.88036054,10.61583854,10.85731566,10.49443532,10.54814801,10.57747806,11.11733913,11.32715798,10.74744202
0.0032,11.01335076,10.7341743,10.88635719,10.94629207,10.88032757,10.61580851,10.85729197,10.49440227,10.54812159,10.57745455,11.11730334,11.32710229,10.74740962
0.00325,11.01334164,10.73414116,10.88632256,10.94625728,10.88029344,10.61577734,10.85726771,10.49436814,10.54809431,10.57743024,11.11726638,11.32704543,10.7473761
0.0033,11.01333226,10.73410692,10.88628681,10.94622135,10.88025817,10.61574504,10.85724291,10.49433295,10.54806617,10.57740516,11.11722828,11.3269874,10.74734149
0.00335,11.01332263,10.73407158,10.88624995,10.94618428,10.88022177,10.61571163,10.85721756,10.4942967,10.5480372,10.5773793,11.11718903,11.32692824,10.74730579
0.0034,11.01331275,10.73403516,10.88621198,10.94614609,10.88018425,10.61567712,10.85719167,10.49425942,10.54800739,10.57735269,11.11714867,11.32686796,10.74726902
0.00345,11.01330263,10.73399768,10.88617294,10.9461068,10.88014563,10.61564151,10.85716526,10.49422111,10.54797675,10.57732532,11.1171072,11.32680658,10.74723118
0.0035,11.01329226,10.73395914,10.88613282,10.94606641,10.88010591,10.61560483,10.85713833,10.49418179,10.54794531,10.57729721,11.11706464,11.32674413,10.74719229
0.00355,11.01328165,10.73391956,10.88609164,10.94602494,10.88006512,10.61556708,10.8571109,10.49414147,10.54791306,10.57726837,11.11702099,11.32668062,10.74715237
0.0036,11.01327081,10.73387895,10.88604942,10.9459824,10.88002326,10.61552828,10.85708296,10.49410017,10.54788002,10.5772388,11.11697628,11.32661608,10.74711143
0.00365,11.01325974,10.73383732,10.88600617,10.94593882,10.87998035,10.61548844,10.85705454,10.4940579,10.5478462,10.57720852,11.11693053,11.32655053,10.74706947
0.0037,11.01324843,10.7337947,10.88596191,10.94589419,10.87993641,10.61544757,10.85702565,10.49401467,10.54781162,10.57717754,11.11688374,11.326484,10.74702653
0.00375,11.01323691,10.73375109,10.88591665,10.94584855,10.87989145,10.61540569,10.85699628,10.4939705,10.54777628,10.57714587,11.11683594,11.3264165,10.74698261
0.0038,11.01322517,10.73370652,10.8858704,10.9458019,10.87984548,10.61536281,10.85696646,10.4939254,10.5477402,10.57711351,11.11678714,11.32634807,10.74693772
0.00385,11.01321321,10.73366099,10.88582319,10.94575427,10.87979853,10.61531896,10.85693619,10.4938794,10.54770339,10.57708049,11.11673735,11.32627872,10.74689189
0.0039,11.01320104,10.73361452,10.88577503,10.94570566,10.87975061,10.61527413,10.85690548,10.4938325,10.54766586,10.57704681,11.11668661,11.32620848,10.74684512
0.00395,11.01318866,10.73356713,10.88572594,10.9456561,10.87970173,10.61522836,10.85687435,10.49378473,10.54762763,10.57701249,11.11663491,11.32613738,10.74679744
0.004,11.01317608,10.73351883,10.88567593,10.9456056,10.87965192,10.61518165,10.8568428,10.49373609,10.5475887,10.57697753,11.11658229,11.32606544,10.74674886
0.00405,11.0131633,10.73346965,10.88562502,10.94555418,10.87960118,10.61513402,10.85681085,10.49368661,10.5475491,10.57694195,11.11652875,11.32599268,10.74669941
0.0041,11.01315033,10.7334196,10.88557324,10.94550186,10.87954955,10.61508549,10.85677851,10.49363631,10.54750884,10.57690577,11.11647433,11.32591914,10.74664908
0.00415,11.01313717,10.73336869,10.88552059,10.94544866,10.87949703,10.61503607,10.85674578,10.4935852,10.54746793,10.57686898,11.11641903,11.32584483,10.74659791
0.0042,11.01312383,10.73331695,10.88546709,10.94539459,10.87944364,10.61498579,10.85671269,10.4935333,10.54742638,10.57683161,11.11636288,11.32576979,10.74654592
0.00425,11.0131103,10.73326438,10.88541277,10.94533968,10.87938941,10.61493466,10.85667924,10.49348063,10.54738422,10.57679368,11.11630589,11.32569403,10.74649311
0.0043,11.0130966,10.73321103,10.88535765,10.94528394,10.87933435,10.61488269,10.85664544,10.4934272,10.54734144,10.57675518,11.1162481,11.32561759,10.74643951
0.00435,11.01308274,10.73315689,10.88530173,10.94522739,10.87927848,10.61482991,10.85661131,10.49337304,10.54729808,10.57671615,11.11618951,11.3255405,10.74638513
0.0044,11.0130687,10.73310198,10.88524506,10.94517006,10.87922183,10.61477634,10.85657686,10.49331816,10.54725414,10.57667658,11.11613014,11.32546278,10.74633001
0.00445,11.01305451,10.73304634,10.88518763,10.94511196,10.8791644,10.61472199,10.85654209,10.49326259,10.54720965,10.5766365,11.11607003,11.32538445,10.74627415
0.0045,11.01304016,10.73298997,10.88512948,10.94505312,10.87910623,10.61466688,10.85650703,10.49320633,10.54716461,10.57659591,11.11600919,11.32530555,10.74621757
0.00455,11.01302566,10.73293291,10.88507062,10.94499355,10.87904733,10.61461103,10.85647169,10.49314943,10.54711904,10.57655484,11.11594763,11.3252261,10.7461603
0.0046,11.01301101,10.73287515,10.88501107,10.94493327,10.87898772,10.61455447,10.85643607,10.49309188,10.54707296,10.5765133,11.11588539,11.32514614,10.74610235
0.00465,11.01299623,10.73281674,10.88495086,10.94487232,10.87892742,10.6144972,10.85640019,10.49303372,10.54702638,10.5764713,11.11582249,11.32506569,10.74604375
0.0047,11.01298131,10.73275768,10.88489,10.9448107,10.87886646,10.61443926,10.85636406,10.49297496,10.54697932,10.57642885,11.11575894,11.32498477,10.74598452
0.00475,11.01296626,10.73269801,10.88482853,10.94474844,10.87880486,10.61438066,10.8563277,10.49291563,10.54693181,10.57638598,11.11569477,11.32490342,10.74592467
0.0048,11.01295109,10.73263773,10.88476645,10.94468556,10.87874263,10.61432142,10.85629111,10.49285574,10.54688384,10.57634269,11.11563,11.32482167,10.74586423
